annee;coordonnees;dep;depcom;libcom;naissances;reg
"2009";"43.94623194, 4.2131714959";"30";"30255";"Saint-Geniès-de-Malgoirès";"41";"91";"NaN"
"2012";"49.3112137886, 4.24950510453";"51";"51505";"Saint-Masmes";"2";"21";"NaN"
"2004";"44.8819813908, 5.74254288729";"38";"38361";"Saint-Arey";"0";"82";"NaN"
"2007";"48.6055592946, 3.68625302626";"51";"51103";"La Celle-sous-Chantemerle";"3";"21";"NaN"
"2008";"49.2683371756, 3.95843961351";"51";"51118";"Champigny";"18";"21";"NaN"
"2007";"45.1107801226, 3.85037132513";"43";"43030";"Blanzac";"2";"83";"NaN"
"2005";"48.6098773154, 4.58918617422";"51";"51270";"Gigny-Bussy";"2";"21";"NaN"
"2007";"44.8933556241, 3.92125459334";"43";"43101";"Goudet";"1";"83";"NaN"
"2009";"48.6620436629, 3.84731315305";"51";"51351";"Marigny";"0";"21";"NaN"
"2009";"45.3603739622, 4.56046533126";"42";"42101";"Graix";"1";"82";"NaN"
"2009";"49.12412458, 4.7940542532";"51";"51213";"Dommartin-sous-Hans";"2";"21";"NaN"
"2008";"49.5367201607, 2.67457954002";"60";"60351";"Lataule";"2";"22";"NaN"
"2004";"49.5367201607, 2.67457954002";"60";"60351";"Lataule";"0";"22";"NaN"
"2008";"49.5932820021, 1.739605828639999";"60";"60596";"Saint-Samson-la-Poterie";"5";"22";"NaN"
"2013";"48.7951982952, -0.509617196105";"61";"61007";"Athis-de-l'Orne";"30";"25";"NaN"
"2007";"49.4123694145, 2.49005189932";"60";"60568";"Saint-Aubin-sous-Erquery";"0";"22";"NaN"
"2007";"49.5554230001, 2.55108811608";"60";"60158";"Coivrel";"3";"22";"NaN"
"2008";"49.5738621459, 2.4192438931";"60";"60268";"Gannes";"2";"22";"NaN"
"2012";"49.4793368724, 2.88124505032";"60";"60636";"Thourotte";"57";"22";"NaN"
"2013";"49.3813474009, 2.08360584323";"60";"60264";"Frocourt";"3";"22";"NaN"
"2010";"49.5909803966, 2.68189967625";"60";"60294";"Hainvillers";"0";"22";"NaN"
"2003";"49.4006526373, 1.832219102129999";"60";"60164";"Le Coudray-Saint-Germer";"12";"22";"NaN"
"2010";"49.256896611, 3.00864189174";"60";"60672";"Vez";"3";"22";"NaN"
"2006";"49.256896611, 3.00864189174";"60";"60672";"Vez";"4";"22";"NaN"
"2003";"48.6593283518, 7.83143435964";"67";"67519";"La Wantzenau";"57";"42";"NaN"
"2009";"48.0034942953, 7.54980840525";"68";"68001";"Algolsheim";"13";"42";"NaN"
"2007";"47.9624598517, 7.36950245681";"68";"68037";"Biltzheim";"4";"42";"NaN"
"2011";"47.5041559244, 7.34056015721";"68";"68049";"Bouxwiller";"6";"42";"NaN"
"2006";"48.3498144162, 7.28574653524";"67";"67426";"Saint-Martin";"4";"42";"NaN"
"2009";"48.7149255569, 7.41004083904";"67";"67459";"Schwenheim";"8";"42";"NaN"
"2013";"48.765401982, 7.60282147839";"67";"67460";"Schwindratzheim";"15";"42";"NaN"
"2008";"42.5501690702, 2.92022187545";"66";"66175";"Saint-Génis-des-Fontaines";"20";"91";"NaN"
"2011";"42.5862325168, 2.86488169804";"66";"66177";"Saint-Jean-Lasseille";"27";"91";"NaN"
"2013";"42.7853593201, 2.47859695441";"66";"66184";"Saint-Martin";"0";"91";"NaN"
"2011";"47.7664940616, 7.15106009452";"68";"68011";"Aspach-le-Bas";"9";"42";"NaN"
"2009";"47.7303686417, 0.582042206339";"72";"72068";"La Chartre-sur-le-Loir";"13";"52";"NaN"
"2012";"46.4923491806, 4.58507876006";"71";"71587";"Vitry-lès-Cluny";"1";"26";"NaN"
"2007";"46.8775473373, 4.60138308306";"71";"71464";"Saint-Maurice-lès-Couches";"2";"26";"NaN"
"2011";"46.6559200534, 4.6747729184699995";"71";"71503";"Saules";"3";"26";"NaN"
"2004";"46.4713429723, 4.8783736486";"71";"71305";"Montbellet";"15";"26";"NaN"
"2005";"46.8638075135, 5.38060673295";"71";"71326";"Mouthier-en-Bresse";"1";"26";"NaN"
"2009";"50.6441641115, 2.39533267946";"62";"62014";"Aire-sur-la-Lys";"132";"31";"NaN"
"2003";"50.3178758623, 2.74105063372";"62";"62037";"Anzin-Saint-Aubin";"34";"31";"NaN"
"2010";"50.4917667023, 1.755102239819999";"62";"62044";"Attin";"11";"31";"NaN"
"2012";"50.2507335159, 2.893018774309999";"62";"62392";"Guémappe";"5";"31";"NaN"
"2013";"50.1833996066, 2.80226363556";"62";"62406";"Hamelincourt";"2";"31";"NaN"
"2004";"50.7636525295, 1.89780581848";"62";"62432";"Herbinghen";"6";"31";"NaN"
"2010";"48.7842951211, -0.263127598038";"61";"61354";"Les Rotours";"2";"25";"NaN"
"2005";"50.5575500609, 2.14482012062";"62";"62565";"Mencas";"1";"31";"NaN"
"2012";"50.7417350163, 1.86256483299";"62";"62599";"Nabringhen";"2";"31";"NaN"
"2013";"50.3077191679, 2.286789043219999";"62";"62631";"Nuncq-Hautecôte";"4";"31";"NaN"
"2013";"45.745518501, 2.87011507295";"63";"63257";"Olby";"16";"83";"NaN"
"2013";"44.7130267691, -0.217710701052";"33";"33292";"Montignac";"1";"72";"NaN"
"2007";"44.754520164, -1.08109347037";"33";"33005";"Andernos-les-Bains";"79";"72";"NaN"
"2003";"44.8193051355, -0.410997563502";"33";"33061";"Bonnetan";"12";"72";"NaN"
"2004";"45.7137644349, 3.13804954458";"63";"63302";"La Roche-Blanche";"27";"83";"NaN"
"2004";"48.7513681905, 3.26256489697";"77";"77097";"Chartronges";"1";"11";"NaN"
"2003";"44.5235838442, 3.13204161699";"48";"48073";"Les Hermaux";"0";"91";"NaN"
"2007";"49.4585668505, 0.625051868596";"76";"76622";"Saint-Maurice-d'Ételan";"1";"23";"NaN"
"2008";"44.8126363545, 3.2751576154";"48";"48140";"Saint-Chély-d'Apcher";"40";"91";"NaN"
"2005";"48.9501046061, 0.531514828879";"27";"27505";"Saint-Agnan-de-Cernières";"1";"23";"NaN"
"2005";"48.8295332796, 0.662693828241";"27";"27508";"Saint-Antonin-de-Sommaire";"0";"23";"NaN"
"2010";"44.4738657983, 0.467367146854";"47";"47071";"Coulx";"2";"72";"NaN"
"2009";"49.2251680221, 0.560341025425";"27";"27551";"Saint-Jean-de-la-Léqueraye";"0";"23";"NaN"
"2008";"48.3043561656, 1.47797333912";"28";"28162";"Fresnay-le-Comte";"5";"24";"NaN"
"2008";"49.9049407174, 3.07066226495";"80";"80413";"Hancourt";"1";"22";"NaN"
"2006";"48.7781253842, 1.32569756656";"27";"27423";"Muzy";"10";"23";"NaN"
"2005";"50.0441508716, 2.857441246959999";"80";"80472";"Lesboeufs";"3";"22";"NaN"
"2004";"49.0036162938, 1.21290711297";"27";"27684";"Le Vieil-Évreux";"9";"23";"NaN"
"2010";"49.9709493809, 2.20409804378";"80";"80722";"Saint-Vaast-en-Chaussée";"6";"22";"NaN"
"2006";"49.8961064636, 2.20932519977";"80";"80730";"Saveuse";"4";"22";"NaN"
"2007";"50.3984333716, 2.43602889753";"62";"62580";"Monchy-Breton";"5";"31";"NaN"
"2003";"47.7338101776, -1.8052140064";"35";"35249";"Sainte-Anne-sur-Vilaine";"14";"53";"NaN"
"2009";"43.8719884875, 1.09282788935";"82";"82043";"Comberouger";"4";"73";"NaN"
"2010";"43.4493841395, 2.67914780973";"34";"34331";"Verreries-de-Moussans";"1";"91";"NaN"
"2006";"50.0398514949, 2.09051285594";"80";"80795";"Ville-le-Marclet";"6";"22";"NaN"
"2005";"47.9198730267, -2.19384701914";"56";"56180";"Porcaro";"11";"53";"NaN"
"2006";"50.1302872079, 2.27525304662";"80";"80491";"Longuevillette";"0";"22";"NaN"
"2004";"48.0894729078, -2.74289349801";"56";"56198";"Rohan";"19";"53";"NaN"
"2007";"43.7157423488, 6.20204455595";"83";"83015";"Bauduen";"1";"93";"NaN"
"2004";"47.5878387262, -3.00101980446";"56";"56233";"Saint-Philibert";"13";"53";"NaN"
"2010";"46.4496842668, -1.27114022202";"85";"85117";"Lairoux";"7";"52";"NaN"
"2006";"49.234262174, 5.2679113417";"55";"55139";"Cumières-le-Mort-Homme";"0";"41";"NaN"
"2003";"44.1374624096, 5.23446005284";"84";"84017";"Bédoin";"19";"93";"NaN"
"2006";"47.9957150402, 7.25987167223";"68";"68255";"Pfaffenheim";"13";"42";"NaN"
"2011";"46.9086155426, -2.06349351302";"85";"85018";"Beauvoir-sur-Mer";"22";"52";"NaN"
"2008";"47.5583266561, 7.34658107092";"68";"68325";"Steinsoultz";"8";"42";"NaN"
"2005";"46.3870241748, 1.09004082103";"86";"86037";"Brigueil-le-Chantre";"5";"54";"NaN"
"2006";"48.1109299734, 7.4394034579";"68";"68366";"Wickerschwihr";"7";"42";"NaN"
"2006";"48.940158615, 3.10627084315";"77";"77448";"Sept-Sorts";"6";"11";"NaN"
"2006";"48.7338365703, 7.55662870926";"67";"67439";"Schaffhouse-sur-Zorn";"4";"42";"NaN"
"2013";"48.8331353956, 1.665230676839999";"78";"78605";"Tacoignières";"6";"11";"NaN"
"2011";"48.9644209228, 7.99028108589";"67";"67351";"Seebach";"12";"42";"NaN"
"2008";"48.6812171201, 3.01742252986";"77";"77527";"Voinsles";"6";"11";"NaN"
"2011";"48.6821850405, 7.40817008946";"67";"67395";"Reutenbourg";"3";"42";"NaN"
"2013";"48.6739368242, 2.01450641994";"78";"78162";"Choisel";"2";"11";"NaN"
"2012";"47.9254894792, 7.09657685658";"68";"68178";"Lautenbachzell";"7";"42";"NaN"
"2006";"49.0298577394, 1.897974469639999";"78";"78261";"Gaillon-sur-Montcient";"6";"11";"NaN"
"2010";"48.3993237404, 2.26344473532";"91";"91508";"Puiselet-le-Marais";"4";"11";"NaN"
"2007";"48.9042583015, 1.55787016876";"78";"78413";"Mondreville";"6";"11";"NaN"
"2013";"16.033779046, -61.690101603";"971";"97124";"Saint-Claude";"104";"01";"NaN"
"2007";"48.3894152157, 3.3448043159";"77";"77015";"Baby";"1";"11";"NaN"
"2005";"49.0903513665, 2.276250103349999";"95";"95445";"Nerville-la-Forêt";"7";"11";"NaN"
"2013";"43.1823198948, -0.294968827477";"64";"64054";"Arros-de-Nay";"6";"72";"NaN"
"2006";"48.5149487002, -0.485029798728";"61";"61186";"Geneslay";"4";"25";"NaN"
"2012";"42.9775013643, 0.559652236891";"65";"65109";"Bramevaque";"0";"73";"NaN"
"2005";"48.8496427055, -0.048044268776500004";"61";"61276";"Merri";"2";"25";"NaN"
"2013";"48.5377213582, 0.890835379676";"61";"61305";"Neuilly-sur-Eure";"2";"25";"NaN"
"2009";"48.5882941085, 7.51624848746";"67";"67081";"Dahlenheim";"12";"42";"NaN"
"2010";"50.516650369, 2.49540704274";"62";"62532";"Lozinghem";"16";"31";"NaN"
"2011";"48.5058373844, 7.36568374858";"67";"67299";"Mollkirch";"15";"42";"NaN"
"2007";"45.9472669174, 6.14837081563";"74";"74019";"Argonay";"15";"82";"NaN"
"2009";"48.7179109039, 7.61255044735";"67";"67207";"Hohatzenheim";"2";"42";"NaN"
"2005";"45.4592334902, 6.11216246274";"73";"73215";"La Rochette";"37";"82";"NaN"
"2011";"44.1085463735, 1.806597706479999";"81";"81265";"Saint-Michel-de-Vax";"0";"73";"NaN"
"2009";"45.6680498711, 4.90843949215";"69";"69273";"Corbas";"119";"82";"NaN"
"2013";"45.8321615079, 4.50376874726";"69";"69008";"Ancy";"10";"82";"NaN"
"2013";"43.4110858173, 2.07834620707";"81";"81055";"Les Cammazes";"2";"73";"NaN"
"2008";"48.2472141611, 7.35466655979";"67";"67362";"Orschwiller";"10";"42";"NaN"
"2012";"43.7035520107, 6.50293185659";"83";"83044";"Comps-sur-Artuby";"4";"93";"NaN"
"2006";"48.8085682655, 7.95676945015";"67";"67472";"Soufflenheim";"49";"42";"NaN"
"2012";"44.0227123316, 1.04707174068";"82";"82031";"Castelmayran";"18";"73";"NaN"
"2008";"49.2572362947, 5.04141957375";"55";"55103";"Charpentry";"0";"41";"NaN"
"2005";"43.9126951654, 1.21926326685";"82";"82062";"Finhan";"19";"73";"NaN"
"2003";"49.394776752, 5.26819381857";"55";"55365";"Murvaux";"1";"41";"NaN"
"2011";"43.9080851557, 1.609431042659999";"81";"81178";"Montgaillard";"9";"73";"NaN"
"2003";"48.5374465111, 5.73922302223";"55";"55397";"Pagny-la-Blanche-Côte";"4";"41";"NaN"
"2004";"43.538512955, 2.34476965371";"81";"81204";"Payrin-Augmontel";"20";"73";"NaN"
"2012";"42.3108287185, 9.43462429228";"2B";"2B194";"Ortale";"0";"94";"NaN"
"2006";"48.4934294526, 6.51089844698";"54";"54222";"Gerbéviller";"8";"41";"NaN"
"2013";"43.4249087979, 2.00114634186";"31";"31569";"Vaudreuille";"4";"73";"NaN"
"2013";"49.14033599, 2.90001405815";"60";"60683";"Villers-Saint-Genest";"4";"22";"NaN"
"2003";"48.8103417636, 4.53084843791";"51";"51001";"Ablancourt";"3";"21";"NaN"
"2004";"48.7431643088, 0.466256113036";"61";"61446";"Saint-Pierre-des-Loges";"2";"25";"NaN"
"2008";"48.8018029229, 4.67029926523";"51";"51040";"Bassuet";"2";"21";"NaN"
"2005";"48.7864528297, 0.557396047758";"61";"61457";"Saint-Symphorien-des-Bruyères";"6";"25";"NaN"
"2005";"49.3615071345, 1.793763247209999";"60";"60616";"Sérifontaine";"29";"22";"NaN"
"2008";"48.9338177836, -1.378308523489999";"50";"50266";"Lengronne";"7";"25";"NaN"
"2005";"48.7360749427, -0.0897289866447";"61";"61194";"Goulet";"2";"25";"NaN"
"2003";"49.4201355471, -1.61663746279";"50";"50486";"Saint-Jacques-de-Néhou";"5";"25";"NaN"
"2011";"46.4126361231, 4.6349159927";"71";"71240";"Jalogny";"5";"26";"NaN"
"2005";"49.6915915371, -1.33947182303";"50";"50375";"Néville-sur-Mer";"4";"25";"NaN"
"2005";"47.5876286452, 5.96724404567";"70";"70580";"Vy-le-Ferroux";"4";"43";"NaN"
"2007";"46.4997145725, -0.774278865729999";"85";"85167";"L'Orbrie";"7";"52";"NaN"
"2004";"47.6660928171, -0.895241558074999";"49";"49277";"Sainte-Gemmes-d'Andigné";"15";"52";"NaN"
"2003";"46.2097919073, 0.479434214777";"86";"86189";"Payroux";"4";"54";"NaN"
"2005";"48.9438664581, -1.32723799683";"50";"50463";"Saint-Denis-le-Gast";"8";"25";"NaN"
"2009";"49.4459502042, 1.38564792564";"27";"27672";"Vascoeuil";"4";"23";"NaN"
"2007";"49.0668656108, 1.33964798484";"27";"27501";"Rouvray";"4";"23";"NaN"
"2008";"48.9030368503, 4.74003720995";"51";"51098";"Bussy-le-Repos";"1";"21";"NaN"
"2007";"49.0915999954, 1.43925560775";"27";"27562";"Saint-Marcel";"63";"23";"NaN"
"2005";"48.771366093, 4.28578540294";"51";"51212";"Dommartin-Lettrée";"2";"21";"NaN"
"2008";"47.807556604, -3.26971559866";"56";"56083";"Hennebont";"203";"53";"NaN"
"2013";"49.8141727455, 0.845673532596";"76";"76272";"Fontaine-le-Dun";"13";"23";"NaN"
"2005";"47.4881657518, -3.12282400639";"56";"56186";"Quiberon";"37";"53";"NaN"
"2008";"49.5861650281, 1.22979848856";"76";"76152";"Cailly";"14";"23";"NaN"
"2009";"49.1048014179, 6.80480680693";"57";"57271";"Guenviller";"4";"41";"NaN"
"2011";"48.6022245541, 3.42081185296";"77";"77026";"Beauchery-Saint-Martin";"5";"11";"NaN"
"2005";"49.8235682474, 0.71056171755";"76";"76467";"Néville";"19";"23";"NaN"
"2012";"47.7868240584, 5.74359892112";"70";"70143";"Chauvirey-le-Châtel";"4";"43";"NaN"
"2008";"45.6453715634, 1.93016871499";"19";"19268";"Toy-Viam";"0";"74";"NaN"
"2010";"47.9284392755, 6.13912860698";"70";"70323";"Mailleroncourt-Saint-Pancras";"1";"43";"NaN"
"2012";"46.3957782254, 4.68241463331";"71";"71031";"Berzé-le-Châtel";"2";"26";"NaN"
"2005";"47.0090636768, 5.2366823459";"21";"21311";"Grosbois-lès-Tichey";"0";"26";"NaN"
"2012";"46.556979900900004, 4.99361378862";"71";"71158";"Cuisery";"10";"26";"NaN"
"2006";"47.3168367609, 4.32727965395";"21";"21445";"La Motte-Ternant";"1";"26";"NaN"
"2004";"47.7190126678, 6.20728397771";"70";"70522";"Varogne";"2";"43";"NaN"
"2012";"47.3642286227, 5.15182250045";"21";"21469";"Orgeux";"7";"26";"NaN"
"2009";"43.3327963198, 2.51635482478";"11";"11081";"Caunes-Minervois";"15";"91";"NaN"
"2012";"47.1794258557, 4.64303707891";"21";"21156";"Chaudenay-le-Château";"1";"26";"NaN"
"2010";"44.5189878085, 4.40483643435";"07";"07272";"Saint-Maurice-d'Ardèche";"2";"82";"NaN"
"2006";"47.9155781312, 4.7394366973899995";"21";"21202";"Courban";"0";"26";"NaN"
"2008";"44.6614016738, 0.816025305504";"47";"47200";"Parranquet";"0";"72";"NaN"
"2004";"44.2940807275, 0.514265870524";"47";"47213";"Prayssas";"8";"72";"NaN"
"2005";"47.4889159636, 4.6965588014";"21";"21084";"Source-Seine";"0";"26";"NaN"
"2013";"47.3211690774, -0.335212087010999";"49";"49154";"Grézillé";"11";"52";"NaN"
"2007";"48.6742219512, 4.18559230801";"10";"10216";"Mailly-le-Camp";"40";"21";"NaN"
"2013";"48.6829849086, 4.27703317765";"10";"10293";"Poivres";"4";"21";"NaN"
"2007";"49.1906741242, -1.455142605519999";"50";"50328";"Millières";"9";"25";"NaN"
"2008";"48.1252290684, 4.67939293455";"10";"10076";"Champignol-lez-Mondeville";"4";"21";"NaN"
"2008";"49.3221921843, -1.388168799739999";"50";"50136";"Coigny";"2";"25";"NaN"
"2006";"48.4575603934, 3.5070361262";"10";"10153";"Fontaine-Mâcon";"3";"21";"NaN"
"2011";"49.1953005849, -1.37598924689";"50";"50552";"Saint-Sébastien-de-Raids";"2";"25";"NaN"
"2012";"43.4072581456, 1.94393147936";"11";"11292";"La Pomarède";"3";"91";"NaN"
"2003";"48.661573623, -1.37225712194";"50";"50616";"Le Val-Saint-Père";"23";"25";"NaN"
"2010";"49.5990015094, -1.7918666797";"50";"50620";"Vasteville";"15";"25";"NaN"
"2008";"46.8586081976, 5.8248269042";"39";"39116";"La Châtelaine";"1";"43";"NaN"
"2005";"48.6458789827, 4.60054022663";"51";"51017";"Arzillières-Neuville";"3";"21";"NaN"
"2005";"48.2664350425, -1.864147561629999";"35";"35058";"La Chapelle-Chaussée";"24";"53";"NaN"
"2009";"46.7559659836, 3.51003237912";"58";"58087";"Cossaye";"10";"26";"NaN"
"2009";"46.5931498881, 0.963558213736";"36";"36087";"Ingrandes";"3";"24";"NaN"
"2010";"50.0926261924, 3.27595747456";"59";"59341";"Lesdain";"9";"31";"NaN"
"2003";"48.5311376904, -1.57392395573";"35";"35222";"Pleine-Fougères";"18";"53";"NaN"
"2010";"50.4153161017, 2.06205464514";"62";"62872";"Wamin";"3";"31";"NaN"
"2007";"48.3796845502, -1.492903818349999";"35";"35244";"Romazy";"8";"53";"NaN"
"2005";"50.5345389344, 2.14734408463";"62";"62790";"Senlis";"3";"31";"NaN"
"2005";"48.6391173168, 0.752904500205";"61";"61429";"Saint-Maurice-lès-Charencey";"8";"25";"NaN"
"2003";"45.4240567135, 3.24088300911";"63";"63456";"Vichel";"2";"83";"NaN"
"2010";"48.8319872895, 0.428759391602";"61";"61434";"Saint-Nicolas-des-Laitiers";"2";"25";"NaN"
"2008";"46.4288360203, 5.26003405676";"01";"01029";"Beaupont";"7";"82";"NaN"
"2012";"48.4936450518, -0.634587693157";"61";"61075";"Ceaucé";"14";"25";"NaN"
"2009";"45.9184267932, 4.82747423402";"01";"01285";"Parcieux";"10";"82";"NaN"
"2008";"48.3206311258, 0.642420415108999";"61";"61379";"Saint-Cyr-la-Rosière";"2";"25";"NaN"
"2013";"49.9252841672, 3.36796234214";"02";"02323";"Fontaine-Uterte";"5";"22";"NaN"
"2010";"48.5404326393, 0.242237703533";"61";"61156";"Essay";"5";"25";"NaN"
"2012";"49.1164230809, 3.26303714363";"02";"02225";"Courchamps";"2";"22";"NaN"
"2012";"50.4986573015, 2.28398463259";"62";"62342";"Fontaine-lès-Boulans";"3";"31";"NaN"
"2004";"42.9370852126, 2.96042838757";"11";"11086";"Caves";"3";"91";"NaN"
"2009";"50.1926802634, 2.75913608882";"62";"62146";"Boiry-Saint-Martin";"5";"31";"NaN"
"2013";"43.2758588523, 2.87717593442";"11";"11164";"Ginestas";"7";"91";"NaN"
"2011";"50.4836257391, 2.11590995942";"62";"62726";"Ruisseauville";"4";"31";"NaN"
"2010";"50.1213705437, 2.59867218191";"62";"62733";"Sailly-au-Bois";"8";"31";"NaN"
"2011";"43.3934090766, 2.40300635339";"11";"11180";"Labastide-Esparbairenque";"0";"91";"NaN"
"2006";"50.362470832, 2.94589813108";"62";"62476";"Izel-lès-Équerchin";"6";"31";"NaN"
"2011";"44.5694224223, 2.68750805663";"12";"12098";"Estaing";"1";"73";"NaN"
"2007";"50.5614379612, 2.48197499021";"62";"62516";"Lillers";"122";"31";"NaN"
"2008";"43.1266480601, 2.12787543715";"11";"11061";"Cambieure";"5";"91";"NaN"
"2005";"50.2927140041, 2.62902405219";"62";"62586";"Montenescourt";"3";"31";"NaN"
"2013";"44.2930906891, 2.30836294143";"12";"12059";"Castanet";"2";"73";"NaN"
"2007";"50.9318131132, 2.0456999898";"62";"62623";"Nouvelle-Église";"12";"31";"NaN"
"2008";"42.9921607802, 2.9297362776";"11";"11322";"Roquefort-des-Corbières";"5";"91";"NaN"
"2013";"44.225497867, 2.1468963703";"12";"12128";"Lescure-Jaoul";"3";"73";"NaN"
"2012";"47.0914736081, 1.8594546964";"36";"36122";"Meunet-sur-Vatan";"4";"24";"NaN"
"2011";"50.3091545259, 3.02186108116";"62";"62627";"Noyelles-sous-Bellonne";"11";"31";"NaN"
"2012";"48.3560951211, -1.81258742693";"35";"35233";"Québriac";"17";"53";"NaN"
"2007";"48.3974434735, -1.26442564597";"35";"35273";"Saint-Germain-en-Coglès";"33";"53";"NaN"
"2013";"43.5728727057, 3.48660359956";"34";"34313";"Tressan";"3";"91";"NaN"
"2006";"43.3612997539, -0.890276104739";"64";"64531";"Tabaille-Usquain";"0";"72";"NaN"
"2010";"46.0002799003, -0.966249355235";"17";"17065";"Breuil-Magné";"12";"54";"NaN"
"2006";"43.4734148077, -0.470945656971999";"64";"64318";"Larreule";"2";"72";"NaN"
"2013";"46.1876266957, -0.870885218412999";"17";"17186";"Le Gué-d'Alleré";"16";"54";"NaN"
"2005";"47.2622294774, 2.64819893365";"18";"18111";"Humbligny";"0";"24";"NaN"
"2011";"43.2732972829, -0.35479385766";"64";"64373";"Mazères-Lezons";"14";"72";"NaN"
"2011";"47.0934510675, 2.52827991158";"18";"18158";"Moulins-sur-Yèvre";"13";"24";"NaN"
"2011";"47.1833400465, 1.94119668443";"18";"18085";"Dampierre-en-Graçay";"5";"24";"NaN"
"2010";"47.0315698276, 2.08940222035";"18";"18182";"Poisieux";"6";"24";"NaN"
"2011";"43.1867597741, 0.101493602864";"65";"65401";"Salles-Adour";"6";"73";"NaN"
"2011";"43.3910708794, 0.0554734768116";"65";"65460";"Vic-en-Bigorre";"32";"73";"NaN"
"2010";"42.6518506927, 2.83475138204";"66";"66038";"Canohès";"39";"91";"NaN"
"2004";"42.5679910483, 2.482086621829999";"66";"66073";"Estoher";"3";"91";"NaN"
"2004";"47.4372947607, 4.49901520895";"21";"21024";"Arnay-sous-Vitteaux";"0";"26";"NaN"
"2012";"47.2386657395, 4.95610732845";"21";"21110";"Brochon";"5";"26";"NaN"
"2004";"42.8207156581, 0.415397234999";"65";"65171";"Estarvielle";"0";"73";"NaN"
"2007";"45.3170286253, 5.5223348378";"38";"38566";"Vourey";"11";"82";"NaN"
"2004";"45.2632599727, 1.670355124159999";"19";"19082";"Favars";"15";"74";"NaN"
"2013";"45.0680531923, 6.05570708995";"38";"38177";"La Garde";"1";"82";"NaN"
"2005";"47.0776286494, 5.2762318698";"21";"21356";"Losne";"23";"26";"NaN"
"2009";"48.1516102771, 5.07446482114";"52";"52251";"Jonchery";"14";"21";"NaN"
"2009";"48.3653621373, -2.91178425275";"22";"22099";"Lanfains";"22";"53";"NaN"
"2003";"49.3296687157, 3.95052532169";"51";"51633";"Villers-Franqueux";"3";"21";"NaN"
"2013";"48.5946127518, -2.33355800652";"22";"22174";"Pléboulle";"3";"53";"NaN"
"2005";"48.8677969763, 4.39336523723";"51";"51339";"Mairy-sur-Marne";"3";"21";"NaN"
"2005";"48.4185427687, -3.55150480178";"22";"22231";"Plourac'h";"1";"53";"NaN"
"2013";"48.6108539647, -3.57279775883";"22";"22238";"Plufur";"2";"53";"NaN"
"2003";"47.670003344, 4.25730473718";"21";"21530";"Rougemont";"1";"26";"NaN"
"2013";"47.389027921, 4.68824509954";"21";"21552";"Saint-Hélier";"0";"26";"NaN"
"2013";"46.0616676024, 3.09345321573";"63";"63082";"Champs";"3";"83";"NaN"
"2007";"45.7440562611, 2.12615175724";"23";"23080";"Féniers";"0";"74";"NaN"
"2011";"50.8883355248, 1.68248567418";"62";"62899";"Wissant";"4";"31";"NaN"
"2011";"45.5150974832, 0.530385430073";"24";"24131";"Connezac";"1";"72";"NaN"
"2007";"50.9450043366, 2.1009180306";"62";"62766";"Saint-Omer-Capelle";"27";"31";"NaN"
"2005";"45.1363136207, 1.23246240823";"24";"24229";"Le Lardin-Saint-Lazare";"17";"72";"NaN"
"2007";"46.0248498581, 3.09894573011";"63";"63181";"Jozerand";"7";"83";"NaN"
"2007";"46.2109887646, 1.9959623106";"23";"23002";"Ajain";"6";"74";"NaN"
"2008";"45.7273657826, 2.65962165368";"63";"63433";"Tortebesse";"0";"83";"NaN"
"2007";"48.5509217232, 3.562035391";"10";"10031";"Barbuise";"4";"21";"NaN"
"2013";"46.4414393381, 0.537436523079";"86";"86094";"Dienné";"15";"54";"NaN"
"2010";"48.3707952955, -4.650000505579999";"29";"29130";"Locmaria-Plouzané";"49";"53";"NaN"
"2005";"46.4393119039, -0.947017086151";"85";"85121";"Le Langon";"10";"52";"NaN"
"2006";"48.4938327293, -4.41894214636";"29";"29160";"Plabennec";"100";"53";"NaN"
"2007";"46.5686332748, -1.70787622288";"85";"85250";"Saint-Mathurin";"29";"52";"NaN"
"2006";"46.6179795025, -1.24888057642";"85";"85291";"Thorigny";"29";"52";"NaN"
"2009";"47.1693297526, 6.169893852379999";"25";"25569";"Trépot";"3";"43";"NaN"
"2010";"47.236235248, 5.88394107726";"25";"25593";"Vaux-les-Prés";"1";"43";"NaN"
"2004";"45.5533573947, -0.405979459811";"17";"17192";"Jarnac-Champagne";"2";"54";"NaN"
"2005";"42.2881585012, 9.24928255053";"2B";"2B110";"Favalello";"0";"94";"NaN"
"2012";"42.4476687598, 9.25468558646";"2B";"2B169";"Morosaglia";"7";"94";"NaN"
"2009";"45.7749267656, -0.892730905106999";"17";"17330";"Sainte-Gemme";"21";"54";"NaN"
"2003";"45.5224276512, -0.356868114482";"17";"17355";"Sainte-Lheurine";"5";"54";"NaN"
"2004";"45.410632637, 1.36145818193";"19";"19011";"Arnac-Pompadour";"16";"74";"NaN"
"2007";"44.9808198297, 1.82767287912";"19";"19019";"Beaulieu-sur-Dordogne";"9";"74";"NaN"
"2012";"45.328176854, 1.40068283398";"19";"19286";"Vignols";"5";"74";"NaN"
"2012";"48.3938578197, -4.12922038869";"29";"29294";"Le Tréhou";"10";"53";"NaN"
"2007";"45.5473595192, 1.9000182869";"19";"19087";"Gourdon-Murat";"1";"74";"NaN"
"2010";"45.1101297922, 1.45969694671";"19";"19117";"Lissac-sur-Couze";"9";"74";"NaN"
