annee;coordonnees;dep;depcom;libcom;naissances;reg
"2011";"46.1537845403, 5.61352793799";"01";"01269";"Nantua";"55";"82";"NaN"
"2012";"48.8213584613, 1.33287296161";"27";"27391";"Marcilly-sur-Eure";"25";"23";"NaN"
"2005";"46.2104135162, 5.14487465017";"01";"01065";"Buellas";"17";"82";"NaN"
"2004";"44.0119187928, 3.1838932062";"12";"12063";"La Cavalerie";"16";"73";"NaN"
"2005";"47.4220683094, 2.6720550629";"18";"18264";"Thou";"0";"24";"NaN"
"2012";"47.6324839446, 4.57347915813";"21";"21160";"Chaume-lès-Baigneux";"0";"26";"NaN"
"2008";"46.8209400192, 2.60143793073";"18";"18277";"Verneuil";"0";"24";"NaN"
"2012";"45.1467893413, 1.43249583574";"19";"19229";"Saint-Pantaléon-de-Larche";"42";"74";"NaN"
"2012";"45.0549433234, 2.05205394933";"19";"19189";"Saint-Bonnet-les-Tours-de-Merle";"1";"74";"NaN"
"2013";"49.0949364148, 0.966325721696";"27";"27298";"Graveron-Sémerville";"3";"23";"NaN"
"2007";"46.6281920568, 2.29315665601";"18";"18059";"Le Châtelet";"10";"24";"NaN"
"2009";"44.2625812469, 5.34101183886";"26";"26278";"La Roche-sur-le-Buis";"2";"82";"NaN"
"2008";"47.3605540938, 4.96901845433";"21";"21223";"Daix";"2";"26";"NaN"
"2006";"44.1975046499, 5.55416093649";"26";"26340";"Séderon";"2";"82";"NaN"
"2005";"45.3273225675, 1.942748004409999";"19";"19081";"Eyrein";"6";"74";"NaN"
"2012";"49.17694671, 0.926307699955";"27";"27354";"Iville";"5";"23";"NaN"
"2006";"45.0984942531, 4.844233369";"26";"26110";"Crozes-Hermitage";"4";"82";"NaN"
"2005";"46.7617210337, 2.20479418633";"18";"18127";"Lignières";"10";"24";"NaN"
"2008";"49.3162735128, 0.851459727067";"27";"27084";"Bosc-Bénard-Commin";"5";"23";"NaN"
"2004";"43.3759426738, 0.285547480034";"65";"65170";"Estampures";"0";"73";"NaN"
"2010";"44.3064594979, 4.01942334563";"30";"30079";"Chambon";"0";"91";"NaN"
"2011";"49.4135236522, 1.14513058262";"76";"76429";"Le Mesnil-Esnard";"65";"23";"NaN"
"2009";"43.9259952676, 4.29189609942";"30";"30102";"Dions";"10";"91";"NaN"
"2013";"49.8452221098, 1.297938623399999";"76";"76472";"Notre-Dame-d'Aliermont";"12";"23";"NaN"
"2011";"42.59289857, 9.00608149281";"2B";"2B182";"Occhiatana";"0";"94";"NaN"
"2011";"48.6145967279, 2.8066323497";"77";"77004";"Andrezel";"1";"11";"NaN"
"2012";"42.052431318000004, 9.29203820739";"2B";"2B236";"Poggio-di-Nazza";"1";"94";"NaN"
"2013";"49.874204912, 1.23753225509";"76";"76624";"Saint-Nicolas-d'Aliermont";"32";"23";"NaN"
"2010";"42.8472592399, 0.521910394334";"31";"31127";"Caubous";"0";"73";"NaN"
"2011";"49.5875455354, 1.679255873069999";"76";"76345";"Haussez";"3";"23";"NaN"
"2011";"43.7390147281, 1.59616914343";"31";"31216";"Gémil";"3";"73";"NaN"
"2005";"50.5874971634, 2.40937405829";"62";"62620";"Norrent-Fontes";"20";"31";"NaN"
"2008";"46.0341686702, 1.20438019379";"87";"87023";"Le Buis";"2";"74";"NaN"
"2008";"50.2529566088, 2.76055250016";"62";"62013";"Agny";"25";"31";"NaN"
"2003";"48.3204577323, 7.11579195781";"88";"88112";"Colroy-la-Grande";"6";"41";"NaN"
"2006";"50.1420610157, 2.827509855199999";"62";"62103";"Béhagnies";"2";"31";"NaN"
"2008";"46.2424604535, 1.01968874073";"87";"87109";"Oradour-Saint-Genest";"3";"74";"NaN"
"2011";"50.4084556449, 1.78127372492";"62";"62150";"Boisjean";"6";"31";"NaN"
"2009";"45.9983550083, 1.21994998762";"87";"87197";"Thouron";"10";"74";"NaN"
"2010";"50.4023869418, 1.650932743729999";"62";"62849";"Verton";"20";"31";"NaN"
"2004";"47.4807022931, 4.10703113936";"89";"89377";"Sauvigny-le-Beuréal";"0";"26";"NaN"
"2013";"50.2905902827, 2.44714550707";"62";"62266";"Denier";"0";"31";"NaN"
"2007";"47.973029644, 3.46898272005";"89";"89218";"Laroche-Saint-Cydroine";"16";"26";"NaN"
"2013";"50.7728122391, 2.20152463188";"62";"62819";"Tilques";"11";"31";"NaN"
"2013";"48.2777545951, 6.3206668903";"88";"88437";"Saint-Vallier";"1";"41";"NaN"
"2004";"48.4139044726, 5.73896632817";"88";"88460";"Soulosse-sous-Saint-Élophe";"5";"41";"NaN"
"2004";"47.5584131204, 5.28562266214";"21";"21163";"Chazeuil";"4";"26";"NaN"
"2006";"47.9659189559, 6.72991911835";"88";"88467";"Thiéfosse";"7";"41";"NaN"
"2009";"47.917342261, 4.49676949979";"21";"21499";"Pothières";"4";"26";"NaN"
"2010";"47.4402798544, 5.09615121255";"21";"21391";"Marsannay-le-Bois";"12";"26";"NaN"
"2005";"47.4884901774, 4.57055360819";"21";"21314";"Hauteroche";"0";"26";"NaN"
"2004";"47.4902826787, 4.40108414456";"21";"21329";"Juilly";"0";"26";"NaN"
"2012";"48.3347554492, 6.0998994342";"88";"88364";"Puzieux";"1";"41";"NaN"
"2011";"44.4025946002, -0.0592641456363";"33";"33276";"Masseilles";"1";"72";"NaN"
"2004";"-20.9940292693, 55.3975084985";"974";"97408";"La Possession";"503";"04";"NaN"
"2007";"43.3285047609, 3.11398724899";"34";"34161";"Montady";"33";"91";"NaN"
"2007";"43.6574397146, 3.29580652136";"34";"34186";"Octon";"3";"91";"NaN"
"2005";"43.5606642689, 3.9517570851799992";"34";"34198";"Pérols";"84";"91";"NaN"
"2005";"44.9696352985, -0.446132776746999";"33";"33143";"Cubzac-les-Ponts";"16";"72";"NaN"
"2011";"43.9010523591, 3.72652630409";"34";"34005";"Agonès";"0";"91";"NaN"
"2010";"46.9074666618, 1.65377312715";"36";"36247";"Vineuil";"14";"24";"NaN"
"2010";"47.5225157675, 1.00231924384";"37";"37009";"Autrèche";"6";"24";"NaN"
"2003";"47.3404974973, 1.67985209939";"41";"41185";"Pruniers-en-Sologne";"28";"24";"NaN"
"2005";"47.3404974973, 1.67985209939";"41";"41185";"Pruniers-en-Sologne";"16";"24";"NaN"
"2008";"43.0488081188, 1.75644029197";"09";"09340";"Vira";"1";"73";"NaN"
"2005";"47.7252568405, 0.824501862365";"41";"41225";"Saint-Martin-des-Bois";"8";"24";"NaN"
"2003";"43.3873063189, 2.30289301086";"11";"11079";"Caudebronde";"3";"91";"NaN"
"2009";"47.720161352, 0.921027740309";"41";"41236";"Sasnières";"2";"24";"NaN"
